ID	Name	Group
16	kentcdodds	0
13	mbostock	0
32	sorrycc	0
17	isaacs	0
35	onevcat	0
15	pengliheng	0
11	jeresig	0
7	getify	0
9	ronenhamias	0
20	daimajia	0
18	sdras	0
24	RubyLouvre	0
4	gabrielpconceicao	0
22	sibelius	0
33	rasbt	1
26	sophiebits	0
6	nelsonic	0
37	TheLarkInn	0
3	Bunlong	0
12	JonnyBanana	0
34	fengmk2	0
39	bradfitz	1
30	spf13	0
21	phodal	0
38	mafintosh	0
27	ajsb85	0
23	antirez	1
28	kamranahmedse	0
25	mcanthony	0
1	nfultz	0
31	ahmetabdi	0
19	kauegimenes	0
36	remy	0
0	dalinhuang99	0
29	igrigorik	0
14	shayan-taheri	0
8	mdo	0
2	addyosmani	0
10	SuriyaaKudoIsc	0
5	rfthusn	0
